PRODUCT,LOCATION,LOCATION TYPE,CREATED,BATCH,EXPIRE,UNIT,QUANTITY LEFT,BASE PRICE LIST
doggy tongue cleaner toothbrush,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,dfff55,2027-03-14,Piece,1,25.0
plackers dental flossers,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,frr5544,2027-03-14,Piece,3,38.0
matiti mist sennaco,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JSK666,2027-03-14,Bottle,6,11.5
3p garlic mixture,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JFG85848,2027-03-31,pc,2,49.5
vaseline blue seal 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFG545,2027-03-31,Single,4,22.0
olive oil (alata),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HGFY55,2027-03-31,Liquid,0,15.0
glycerine s/s,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KHGUK,2027-03-31,Bottle,1,16.0
glycerine b/s,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DGHJJ,2027-03-31,Bottle,2,29.4
sivoderm powder,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FVKJ,2027-03-31,Bottle,1,16.0
sivoderm cream,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HTF689,2027-03-31,Cream,2,19.0
bel-aqua mineral water 500ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DKF55,2027-03-31,Bottle,13,3.0
roxidol diclofenac sodium paracetamo and chlorxazone tabs 1x10,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JHHV455,2027-03-12,Tablet,10,5.0
parafenac diclofenac sodium & paracetamol tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFTR559,2027-03-31,mg,10,4.6
normal saline nasal drops uk,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VY541445,2027-03-31,Drop,4,22.0
lexformin 500mg tab,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JJK6599,2027-03-31,Tablet,6,22.5
gogynax vaginal pess. 100mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JGI7484848,2027-03-31,Pessary,2,14.5
clotri-denk 100 vaginal pessary 6's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GVGBHKV545,2027-03-31,Pessary,3,82.5
amoxicillin 500mg (letap),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJ556,2027-03-31,Pack,15,7.2
klovinal tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJ5656,2027-03-09,Box,4,50.5
oxynic 625mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,BJJJK548,2027-03-31,Pack,5,45.0
baseboom oral jelly,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HGJ44,2027-03-31,Gm,14,13.0
streptol lozenges,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJK74485,2027-03-31,Pack,41,3.2
natures cure whitening gummies,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK556,2027-03-31,Box,1,120.0
daynee hair skin nails vitamins vegetable gummies,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UIK5846,2027-03-31,Box,1,145.0
