,PRODUCT,LOCATION,LOCATION TYPE,CREATED,BATCH,EXPIRE,UNIT,QUANTITY LEFT,BASE PRICE LIST
0,amoxicillin 500mg (letap),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJ556,2027-03-31,Pack,25,7.2
1,klovinal tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJ5656,2027-03-09,Box,4,50.5
2,oxynic 625mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,BJJJK548,2027-03-31,Pack,5,45.0
3,baseboom oral jelly,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HGJ44,2027-03-31,Gm,19,13.0
4,streptol lozenges,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJK74485,2027-03-31,Pack,50,3.2
5,natures cure whitening gummies,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK556,2027-03-31,Box,1,120.0
6,daynee hair skin nails vitamins vegetable gummies,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UIK5846,2027-03-31,Box,1,145.0
7,chapstick,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YRY6596,2027-03-31,Piece,4,38.0
8,gauze bandage 2.5cm x 5yards 12's /strip,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YYUII5466,2027-03-31,Roll,29,1.0
9,madar get tol 250ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK1546,2027-03-31,ml,2,12.0
10,nivea roll on 50ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGJ6166,2027-03-08,Bottle,3,38.0
11,tamoxifen tablets 20mg milpharm,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFG5485,2027-03-31,Tablet,0,229.0
12,nasaline drops,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NSD24005,2026-03-31,Bottle,0,12.6
13,yovanny cough lozenges,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KK997,2026-02-24,Piece,68,1.0
14,orgazmax condoms 3's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JGUJ5565,2027-02-28,Box,6,25.0
15,immunid vit. c syr (vega),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UK6468,2027-02-28,Syrup,2,27.5
16,immunid plus,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JGJ659+,2027-02-28,gram,1,30.0
17,ibucap caps 200's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK265,2027-02-28,Box,32,5.2
18,enafix cefixime suspension 100mg/5ml 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFF5646,2027-02-28,ml,4,35.0
19,gudapet syrup 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHK69996,2027-02-28,Bottle,1,26.0
20,bx syrup 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IGU6985966,2027-02-28,Bottle,2,25.0
21,bx syrup 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YTU5185485,2027-02-28,Syrup,3,17.5
22,buttercup syrup 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NJ526,2027-02-28,ml,1,247.0
23,buttercup 75ml syrup,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YJ9999,2027-02-28,ml,2,160.0
