,CATEGORY,PRODUCT,DATE,CUSTOMER NAME,STATUS,INVOICE NUMBER,UNIT,QTY,UNIT PRICE,TOTAL AMOUNT,ENCOUNTER TYPE,CREATED BY
23757,Non-medical,OMEZOLE OMEPRAZOLE CAPS 20MG 200'S,2024-02-01,,Paid,IN-OCL-028550-7,Pack,1,6.0,6.0,walk-in,Gifty Amoah
23724,Non-medical,CLOSOL CREAM 30g,2024-02-01,,Paid,IN-OCL-028573-2,Tube,1,10.0,10.0,walk-in,Stella Anane
23723,Non-medical,GEBEDOL EXTRA,2024-02-01,,Paid,IN-OCL-028574-6,Tab,1,8.0,8.0,walk-in,Stella Anane
23722,Non-medical,ZENTEL ALBENDAZOLE 200MG TAB 2'S,2024-02-01,,Paid,IN-OCL-028575-8,Pack,1,20.0,20.0,walk-in,Stella Anane
23721,Non-medical,LYDIA POSTPILL,2024-02-01,,Paid,IN-OCL-028575-8,Pack,1,15.0,15.0,walk-in,Stella Anane
23720,Non-medical,MUCOLEX JUNIOR,2024-02-01,,Paid,IN-OCL-028576-0,ml,1,42.0,42.0,walk-in,Stella Anane
23719,Medical,KISS CONDOM,2024-02-01,,Paid,IN-OCL-028577-8,sachet,1,6.0,6.0,walk-in,Stella Anane
23718,Non-medical,METROLEX-F METRO/FURAZOLIDINE 150MG /5ML SUSP 100ML,2024-02-01,,Paid,IN-OCL-028578-0,Bottle,1,45.0,45.0,walk-in,Stella Anane
23717,Non-medical,ZINTAB 10 DISPERSIBLE TAB MGP,2024-02-01,,Paid,IN-OCL-028578-0,Tablet,1,2.0,2.0,walk-in,Stella Anane
23716,Non-medical,ORS PHYTO-RIKER,2024-02-01,,Paid,IN-OCL-028578-0,gram,4,2.0,8.0,walk-in,Stella Anane
23715,Non-medical,METRONIDAZOLE 400MG BEDA,2024-02-01,,Paid,IN-OCL-028579-7,Box,1,14.0,14.0,walk-in,Stella Anane
23714,Non-medical,CLARITYN LORATADINE 10MG TABLET 7'S BAYER,2024-02-01,,Paid,IN-OCL-028580-9,Tablet,3,11.0,33.0,walk-in,Stella Anane
