DATE,TOTAL AMOUNT
2021-02-10,123.1
2021-02-18,552.4
2021-02-19,298.1
2021-02-20,456.0
2021-02-21,300.0
2021-02-22,850.9
2021-02-23,144.3
2021-02-24,45.0
2021-02-27,34.5
2021-03-01,150.0
2021-03-02,52.6
2021-03-03,219.0
2021-03-04,67.5
2021-03-05,85.7
2021-03-08,173.2
2021-03-09,167.5
2021-03-10,180.1
2021-03-11,161.9
2021-03-12,361.4
2021-03-13,125.7
2021-03-14,76.0
2021-03-15,369.5
2021-03-16,172.2
2021-03-17,470.0
2021-03-18,86.6
2021-03-19,197.1
2021-03-20,74.2
2021-03-21,37.0
2021-03-22,128.7
2021-03-23,96.4
2021-03-24,273.4
2021-03-25,210.4
2021-03-26,476.4
2021-03-27,351.3
2021-03-28,265.6
2021-03-29,393.6
2021-03-30,431.0
2021-03-31,314.1
2021-04-01,401.3
2021-04-02,56.0
2021-04-03,319.0
2021-04-04,196.0
2021-04-05,378.0
2021-04-06,310.8
2021-04-07,629.4
2021-04-08,190.5
2021-04-09,442.8
2021-04-10,273.5
2021-04-11,138.0
2021-04-12,266.4
2021-04-13,241.5
2021-04-14,437.7
2021-04-15,210.9
2021-04-16,363.3
2021-04-17,349.1
2021-04-18,275.6
2021-04-19,148.4
2021-04-20,92.9
2021-04-21,246.0
2021-04-22,301.6
2021-04-23,494.1
2021-04-24,220.6
2021-04-25,114.6
2021-04-26,745.9
2021-04-27,178.0
2021-04-28,335.8
2021-04-29,307.6
2021-04-30,88.3
2021-05-01,273.0
2021-05-02,394.9
2021-05-03,318.9
2021-05-04,256.0
2021-05-05,111.0
2021-05-06,162.7
2021-05-07,437.3
2021-05-08,458.5
2021-05-09,159.4
2021-05-10,253.8
2021-05-11,137.0
2021-05-12,363.5
2021-05-13,470.4
2021-05-14,571.3
2021-05-15,570.8
2021-05-16,136.4
2021-05-17,305.0
2021-05-18,406.2
2021-05-19,542.4
2021-05-20,441.0
2021-05-21,325.7
2021-05-22,295.6
2021-05-23,516.1
2021-05-24,475.4
2021-05-25,343.8
2021-05-26,335.0
2021-05-27,129.4
2021-05-28,443.0
2021-05-29,496.4
2021-05-30,135.2
2021-05-31,249.0
2021-06-01,863.2
2021-06-02,280.0
2021-06-03,556.2
2021-06-04,575.8
2021-06-05,277.0
2021-06-06,231.5
2021-06-07,395.0
2021-06-08,311.0
2021-06-09,235.0
2021-06-10,200.6
2021-06-11,398.8
2021-06-12,461.0
2021-06-13,97.2
2021-06-14,473.8
2021-06-15,561.9
2021-06-16,813.6
2021-06-17,279.2
2021-06-18,417.8
2021-06-19,289.4
2021-06-20,421.0
2021-06-21,494.4
2021-06-22,186.2
2021-06-23,505.3
2021-06-24,167.0
2021-06-25,273.4
2021-06-26,490.0
2021-06-27,234.0
2021-06-28,418.8
2021-06-29,475.4
2021-06-30,526.1
2021-07-01,1188.2
2021-07-02,447.4
2021-07-03,441.0
2021-07-04,263.4
2021-07-05,605.8
2021-07-06,877.2
2021-07-07,429.3
2021-07-08,405.5
2021-07-09,676.0
2021-07-10,768.3
2021-07-11,147.5
2021-07-12,156.4
2021-07-13,532.7
2021-07-14,802.9
2021-07-15,650.2
2021-07-16,409.9
2021-07-17,213.8
2021-07-18,233.0
2021-07-19,366.2
2021-07-20,211.9
2021-07-21,437.8
2021-07-22,309.0
2021-07-23,171.9
2021-07-24,383.0
2021-07-25,193.0
2021-07-26,462.0
2021-07-27,734.5
2021-07-28,802.5
2021-07-29,963.5
2021-07-30,186.3
2021-07-31,898.2
2021-08-01,261.5
2021-08-02,471.0
2021-08-03,543.5
2021-08-04,227.0
2021-08-05,315.7
2021-08-06,315.3
2021-08-07,416.0
2021-08-08,563.2
2021-08-09,411.0
2021-08-10,296.6
2021-08-11,569.6
2021-08-12,335.5
2021-08-13,440.8
2021-08-14,307.0
2021-08-15,386.3
2021-08-16,414.8
2021-08-17,676.1
2021-08-18,423.0
2021-08-19,234.0
2021-08-20,582.0
2021-08-21,366.0
2021-08-22,139.5
2021-08-23,594.0
2021-08-24,358.0
2021-08-25,109.5
2021-08-26,254.8
2021-08-27,281.0
2021-08-28,293.0
2021-08-29,173.2
2021-08-30,681.1
2021-08-31,400.5
2021-09-01,820.4
2021-09-02,180.1
2021-09-03,541.9
2021-09-04,254.6
2021-09-05,140.1
2021-09-06,670.3
2021-09-07,503.0
2021-09-08,280.0
2021-09-09,398.7
2021-09-10,541.3
2021-09-11,765.3
2021-09-12,216.8
2021-09-13,372.4
2021-09-14,269.5
2021-09-15,691.2
2021-09-16,359.17
2021-09-17,435.47
2021-09-18,590.28
2021-09-19,475.68
2021-09-21,605.66
2021-09-22,253.07
2021-09-23,403.05
2021-09-24,367.0
2021-09-25,420.7
2021-09-26,396.0
2021-09-27,340.67
2021-09-28,568.6
2021-09-29,281.1
2021-09-30,923.1
2021-10-01,353.0
2021-10-02,548.6
2021-10-03,441.97
2021-10-04,406.33
2021-10-05,377.52
2021-10-06,497.0
2021-10-07,698.32
2021-10-08,378.3
2021-10-09,439.75
2021-10-10,393.78
2021-10-11,433.4
2021-10-12,288.4
2021-10-13,366.0
2021-10-14,508.27
2021-10-15,311.3
2021-10-16,516.8
2021-10-17,341.34
2021-10-18,166.8
2021-10-19,722.4
2021-10-20,508.4
2021-10-21,165.44
2021-10-22,304.7
2021-10-23,315.96
2021-10-24,278.0
2021-10-25,293.2
2021-10-26,298.4
2021-10-27,249.53
2021-10-28,268.0
2021-10-29,125.47
2021-10-30,154.1
2021-10-31,283.2
2021-11-01,172.5
2021-11-02,251.9
2021-11-03,402.4
2021-11-04,231.8
2021-11-05,230.9
2021-11-06,105.4
2021-11-07,75.0
2021-11-08,471.3
2021-11-09,272.0
2021-11-10,258.5
2021-11-11,633.5
2021-11-12,228.4
2021-11-13,381.4
2021-11-14,274.0
2021-11-15,385.6
2021-11-16,249.5
2021-11-17,329.8
2021-11-18,268.0
2021-11-19,617.9
2021-11-20,198.2
2021-11-21,91.6
2021-11-22,306.4
2021-11-23,309.4
2021-11-24,274.1
2021-11-25,314.1
2021-11-26,252.9
2021-11-27,232.5
2021-11-28,215.4
2021-11-29,67.1
2021-11-30,256.7
2021-12-01,439.5
2021-12-02,293.5
2021-12-03,424.3
2021-12-04,366.5
2021-12-05,282.1
2021-12-06,509.3
2021-12-07,795.9
2021-12-08,683.4
2021-12-09,272.26
2021-12-10,566.1
2021-12-11,271.2
2021-12-12,314.5
2021-12-13,597.0
2021-12-14,22.5
2021-12-15,561.1
2021-12-16,440.7
2021-12-17,619.3
2021-12-18,525.2
2021-12-19,570.5
2021-12-20,517.1
2021-12-21,1083.5
2021-12-22,762.4
2021-12-23,606.6
