PRODUCT,LOCATION,LOCATION TYPE,CREATED,BATCH,EXPIRE,QUANTITY LEFT,BASE PRICE LIST,QTY,Days Left,Reorder Date
plackers dental flossers,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,frr5544,2027-03-14,3,38.0,1.0,3.0,2025-03-27 17:34:40.971915
glycerine s/s,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KHGUK,2027-03-31,1,16.0,1.0,1.0,2025-03-27 17:34:40.971915
sivoderm powder,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FVKJ,2027-03-31,1,16.0,1.0,1.0,2025-03-27 17:34:40.971915
bel-aqua mineral water 500ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DKF55,2027-03-31,13,3.0,1.0,13.0,2025-04-04 17:34:40.971915
normal saline nasal drops uk,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,VY541445,2027-03-31,4,22.0,1.0,4.0,2025-03-27 17:34:40.971915
gogynax vaginal pess. 100mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JGI7484848,2027-03-31,2,14.5,1.0,2.0,2025-03-27 17:34:40.971915
amoxicillin 500mg (letap),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJ556,2027-03-31,15,7.2,3.75,4.0,2025-03-27 17:34:40.971915
baseboom oral jelly,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HGJ44,2027-03-31,14,13.0,1.5,9.333333333333334,2025-04-01 01:34:40.971915
streptol lozenges,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJK74485,2027-03-31,41,3.2,1.8571428571428572,22.076923076923077,2025-04-13 19:25:27.125761
tamoxifen tablets 20mg milpharm,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFG5485,2027-03-31,0,229.0,1.0,0.0,2025-03-27 17:34:40.971915
nasaline drops,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NSD24005,2026-03-31,0,12.6,1.0,0.0,2025-03-27 17:34:40.971915
yovanny cough lozenges,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KK997,2026-02-24,47,1.0,8.75,5.371428571428571,2025-03-28 02:29:32.400486
ibucap caps 200's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK265,2027-02-28,32,5.2,1.0,32.0,2025-04-23 17:34:40.971915
gudapet syrup 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHK69996,2027-02-28,1,26.0,1.0,1.0,2025-03-27 17:34:40.971915
bx syrup 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YTU5185485,2027-02-28,3,17.5,1.0,3.0,2025-03-27 17:34:40.971915
buttercup syrup 200ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NJ526,2027-02-28,1,247.0,1.0,1.0,2025-03-27 17:34:40.971915
arytons touch & go toothache solution 7ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,D5546489,2027-02-28,3,63.0,1.0,3.0,2025-03-27 17:34:40.971915
pure klenz hand sanitizer 250ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJ6566,2027-02-03,0,38.7,1.0,0.0,2025-03-27 17:34:40.971915
pure-klenz hand sanitizer 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HH6565,2027-02-28,0,20.0,1.1428571428571428,0.0,2025-03-27 17:34:40.971915
sudocream 250g,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GJ4498,2027-02-28,1,260.0,1.0,1.0,2025-03-27 17:34:40.971915
paracetamol (letamol) 500mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NFJL485,2027-02-28,4,10.0,1.0,4.0,2025-03-27 17:34:40.971915
gr metformin 500 tabs,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJ5754,2027-02-28,0,1.5,10.0,0.0,2025-03-27 17:34:40.971915
paracetamol 500mg tabs 32's almus,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GG+658996,2027-02-28,0,25.5,1.2,0.0,2025-03-27 17:34:40.971915
valupak evening primrose 500mg,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHJ5496,2027-01-31,2,42.5,1.0,2.0,2025-03-27 17:34:40.971915
amoxicillin 100ml suspension exeter,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GDTU9556,2027-01-31,2,18.0,1.75,1.1428571428571428,2025-03-27 17:34:40.971915
acyclovir denk 200 25's,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GYU6596,2027-01-31,15,6.4,5.0,3.0,2025-03-27 17:34:40.971915
fanta bottle 330ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHFUJ57867,2027-01-31,2,6.5,1.25,1.6,2025-03-27 17:34:40.971915
coca-cola bottle 300ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JDHI389474,2027-01-31,0,6.5,1.3333333333333333,0.0,2025-03-27 17:34:40.971915
bedikof child cough syr,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JSV729,2027-01-31,0,12.0,1.0,0.0,2025-03-27 17:34:40.971915
