PRODUCT,LOCATION,LOCATION TYPE,CREATED,BATCH,EXPIRE,UNIT,QUANTITY LEFT,BASE PRICE LIST
AMOXICILLIN 500MG (LETAP),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJ556,31/03/2027,Pack,25,7.20
KLOVINAL TABS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJ5656,09/03/2027,Box,4,50.50
OXYNIC 625MG,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,BJJJK548,31/03/2027,Pack,5,45.00
BASEBOOM ORAL JELLY,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HGJ44,31/03/2027,Gm,19,13.00
STREPTOL LOZENGES,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FHJK74485,31/03/2027,Pack,50,3.20
NATURES CURE WHITENING GUMMIES,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK556,31/03/2027,Box,1,120.00
DAYNEE HAIR SKIN NAILS VITAMINS VEGETABLE GUMMIES,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UIK5846,31/03/2027,Box,1,145.00
CHAPSTICK,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YRY6596,31/03/2027,Piece,4,38.00
GAUZE BANDAGE 2.5CM X 5YARDS 12'S /STRIP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YYUII5466,31/03/2027,Roll,29,1.00
MADAR GET TOL 250ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK1546,31/03/2027,ml,2,12.00
NIVEA ROLL ON 50ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FGJ6166,08/03/2027,Bottle,3,38.00
TAMOXIFEN TABLETS 20mg MILPHARM,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFG5485,31/03/2027,Tablet,0,229.00
NASALINE DROPS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NSD24005,31/03/2026,Bottle,0,12.60
YOVANNY COUGH LOZENGES,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KK997,24/02/2026,Piece,68,1.00
ORGAZMAX CONDOMS 3'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JGUJ5565,28/02/2027,Box,6,25.00
IMMUNID VIT. C SYR (VEGA),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,UK6468,28/02/2027,Syrup,2,27.50
IMMUNID PLUS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JGJ659+,28/02/2027,gram,1,30.00
IBUCAP CAPS 200'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK265,28/02/2027,Box,32,5.20
ENAFIX Cefixime Suspension 100mg/5ml 100ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DFF5646,28/02/2027,ml,4,35.00
GUDAPET SYRUP 200ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHK69996,28/02/2027,Bottle,1,26.00
BX SYRUP 200ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,IGU6985966,28/02/2027,Bottle,2,25.00
BX SYRUP 100ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YTU5185485,28/02/2027,Syrup,3,17.50
BUTTERCUP SYRUP 200ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NJ526,28/02/2027,ml,1,247.00
BUTTERCUP 75ML SYRUP,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,YJ9999,28/02/2027,ml,2,160.00
ARYTONS TOUCH & GO TOOTHACHE SOLUTION 7ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,D5546489,28/02/2027,Box,3,63.00
PURE KLENZ HAND SANITIZER 250ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJ6566,03/02/2027,Bottle,1,38.70
PURE-KLENZ HAND SANITIZER 100ml,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HH6565,28/02/2027,Bottle,1,20.00
SUDOCREAM 250G,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GJ4498,28/02/2027,Box,1,260.00
LOSARTAN LTP-50 50MG TABS 30'S  (OA&J),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JG5965,28/02/2027,Tablet,10,14.00
PARACETAMOL (LETAMOL) 500MG,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,NFJL485,28/02/2027,,4,10.00
AMANAT AMLODIPINE 10MG (OA&J),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JJ65959,28/02/2027,Pack,6,8.50
GR METFORMIN 500 TABS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJ5754,28/02/2027,mg,0,1.50
PARACETAMOL 500MG TABS 32'S ALMUS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GG+658996,28/02/2027,Box,0,25.50
VALUPAK EVENING PRIMROSE 500MG,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHJ5496,31/01/2027,Can,0,42.50
AMOXICILLIN 100ML SUSPENSION EXETER,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GDTU9556,31/01/2027,Bottle,3,18.00
AMITRIPTYLINE 10MG (TEVA),Oddaremma Chemists Limited,Retail,Richard Addo Owusu,KK8789,31/01/2027,Tablet,3,15.00
ACYCLOVIR DENK 200 25'S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GYU6596,31/01/2027,Tablet,20,6.40
FANTA BOTTLE 330ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GHFUJ57867,31/01/2027,Bottle,3,6.50
COCA-COLA BOTTLE 300ML,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JDHI389474,31/01/2027,Bottle,0,6.50
BEDIKOF CHILD COUGH SYR,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JSV729,31/01/2027,ml,0,12.00
ENAFEN IBUPROFEN SYRUP 100MG/5ML 60ML ECL,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,GDG74747,31/01/2027,Bottle,11,19.50
VASELINE ORIGINAL HEALING JELLY,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JK25451,31/01/2027,Unit ,0,21.00
SOFTCARE BABY WIPES 80PCS,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DJF5898,31/01/2027,sachet,1,25.00
CLOSE UP MINT 14OG,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DNFK545,31/01/2027,Tube,2,23.50
CUSSONS BABY POWDER 200G,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DKDL6998,31/01/2027,gram,4,16.00
DENTAL FLOSS B/S,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,DHI5795,31/01/2027,pc,0,29.00
DEX ANTIBACTERIAL WET WIPES,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HJK885,31/01/2027,sachet,1,15.00
JOZZY PASTE,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,HFH548,31/01/2027,Box,2,12.50
KEL KIDS TOOTHPASTE,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FJKK4597,31/01/2027,Tube,1,15.00
PEPSODENT DEEP CLEAN TOOTH BRUSH,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JDHD65896,31/01/2027,pc,8,9.50
WISDOM SMOKERS TOOTHBRUSH,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,FYTI487985,31/01/2027,Box,9,9.50
YAZZ KIDS TOOTHBRUSH,Oddaremma Chemists Limited,Retail,Richard Addo Owusu,JGJ5845,31/01/2027,gram,13,4.00
